models,classifiers,Abbrev.,hyperparameters
volsurf-AlphaLISA,GrandientBoostingClassifier,GB,"{'learning_rate': 0.2, 'n_estimators': 200, 'random_state': 42}"
tpatf-3CL,RandomForestClassifier,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}"
tpatf-hCYTOX,RandomForestClassifier,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42}"
lecfp4-MERS-PPE,MLPClassifier,MLP,"{'hidden_layer_sizes': [100], 'max_iter': 300, 'random_state': 42, 'verbose': 2}"
tpatf-CPE,OneVsRestClassifier,OVR,"{'estimator__C': 1.0, 'estimator__n_jobs': -1, 'estimator__penalty': 'l2', 'estimator__random_state': 42, 'estimator__solver': 'lbfgs', 'estimator__verbose': 2}"
fcfp4-TruHit,BaggingClassifier,BAG,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10, 'random_state': 42}"
volsurf-ACE2,OneVsRestClassifier,OVR,"{'estimator__C': 1.0, 'estimator__n_jobs': -1, 'estimator__penalty': 'l2', 'estimator__random_state': 42, 'estimator__solver': 'liblinear', 'estimator__verbose': 2}"
lfcfp4-CPE,MultinomialNB,MNB,{'alpha': 3.0}
tpatf-MERS-PPE_cs,SupportVectorClassifier,SVC,"{'C': 0.1, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 500, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.0001, 'verbose': 2}"
tpatf-CoV1-PPE_cs,XGBClassifier,XGB,"{'learning_rate': 0.1, 'n_estimators': 200, 'random_state': 42}"
rdkDes-MERS-PPE,GrandientBoostingClassifier,GB,"{'learning_rate': 0.1, 'n_estimators': 250, 'random_state': 42}"
rdkDes-CoV1-PPE,MultinomialNB,MNB,{'alpha': 3.0}
rdkDes-CPE,ExtraTreesClassifier,ETAs,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100, 'random_state': 42}"
rdkDes-ACE2,XGBClassifier,XGB,"{'learning_rate': 0.3, 'n_estimators': 100, 'random_state': 42}"
volsurf-hCYTOX,GrandientBoostingClassifier,GB,"{'learning_rate': 0.01, 'n_estimators': 300, 'random_state': 42}"
hashtt-3CL,SupportVectorClassifier,SVC,"{'C': 1, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.0001, 'verbose': 2}"
rdkDes-TruHit,ExtraTreesClassifier,ETAs,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100, 'random_state': 42}"
tpatf-CoV1-PPE,GrandientBoostingClassifier,GB,"{'learning_rate': 0.1, 'n_estimators': 50, 'random_state': 42}"
rdkDes-3CL,GrandientBoostingClassifier,GB,"{'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 42}"
tpatf-MERS-PPE,ExtraTreesClassifier,ETAs,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 100, 'random_state': 42}"
volsurf-TruHit,KNeighborsClassifier,KNB,"{'algorithm': 'ball_tree', 'leaf_size': 50, 'n_neighbors': 5, 'weights': 'distance'}"
rdkDes-hCYTOX,RandomForestClassifier,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}"
rdk7-MERS-PPE_cs,MultinomialNB,MNB,{'alpha': 3.0}
rdkDes-MERS-PPE_cs,AdaBoostClassifier,ADA,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 1, 'n_estimators': 50, 'random_state': 42}"
hashap-AlphaLISA,SupportVectorClassifier,SVC,"{'C': 1, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.0001, 'verbose': 2}"
lecfp6-hCYTOX,XGBClassifier,XGB,"{'learning_rate': 0.3, 'n_estimators': 150, 'random_state': 42}"
volsurf-MERS-PPE_cs,MLPClassifier,MLP,"{'hidden_layer_sizes': [100], 'max_iter': 100, 'random_state': 42, 'verbose': 2}"
fcfp2-ACE2,RandomForestClassifier,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 700, 'n_jobs': -1, 'random_state': 42}"
tpatf-AlphaLISA,GrandientBoostingClassifier,GB,"{'learning_rate': 0.3, 'n_estimators': 200, 'random_state': 42}"
laval-CoV1-PPE,GrandientBoostingClassifier,GB,"{'learning_rate': 0.01, 'n_estimators': 800, 'random_state': 42}"
tpatf-ACE2,RandomForestClassifier,RF,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 400, 'n_jobs': -1, 'random_state': 42}"
laval-cytotox,RandomForestClassifier,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 500, 'n_jobs': -1, 'random_state': 42}"
volsurf-3CL,RandomForestClassifier,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}"
ecfp4-CoV1-PPE_cs,RandomForestClassifier,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 600, 'n_jobs': -1, 'random_state': 42}"
volsurf-CoV1-PPE,OneVsRestClassifier,OVR,"{'estimator__C': 1.0, 'estimator__n_jobs': -1, 'estimator__penalty': 'l1', 'estimator__random_state': 42, 'estimator__solver': 'lbfgs', 'estimator__verbose': 2}"
volsurf-MERS-PPE,ExtraTreesClassifier,ETAs,"{'criterion': 'gini', 'max_features': 'sqrt', 'n_estimators': 500, 'random_state': 42}"
volsurf-CPE,OneVsRestClassifier,OVR,"{'estimator__C': 1.0, 'estimator__n_jobs': -1, 'estimator__penalty': 'l2', 'estimator__random_state': 42, 'estimator__solver': 'liblinear', 'estimator__verbose': 2}"
volsurf-CoV1-PPE_cs,MLPClassifier,MLP,"{'hidden_layer_sizes': [100], 'max_iter': 200, 'random_state': 42, 'verbose': 2}"
rdkDes-cytotox,MLPClassifier,MLP,"{'hidden_layer_sizes': [100], 'max_iter': 300, 'random_state': 42, 'verbose': 2}"
rdkDes-CoV1-PPE_cs,XGBClassifier,XGB,"{'learning_rate': 0.01, 'n_estimators': 800, 'random_state': 42}"
tpatf-cytotox,ExtraTreesClassifier,ETAs,"{'criterion': 'entropy', 'max_features': 'sqrt', 'n_estimators': 100, 'random_state': 42}"
volsurf-cytotox,MLPClassifier,MLP,"{'hidden_layer_sizes': [100, 64], 'max_iter': 200, 'random_state': 42, 'verbose': 2}"
tpatf-TruHit,ExtraTreesClassifier,ETAs,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100, 'random_state': 42}"
rdkDes-AlphaLISA,XGBClassifier,XGB,"{'learning_rate': 0.1, 'n_estimators': 750, 'random_state': 42}"
