models,classifiers,hyperparameters
volsurf-AlphaLISA,GB,"{'learning_rate': 0.2, 'n_estimators': 200, 'random_state': 42}"
tpatf-3CL,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}"
tpatf-hCYTOX,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100, 'n_jobs': -1, 'random_state': 42}"
lecfp4-MERS-PPE,MLP,"{'hidden_layer_sizes': [100], 'max_iter': 300, 'random_state': 42, 'verbose': 2}"
tpatf-CPE,OVR,"{'estimator__C': 1.0, 'estimator__n_jobs': -1, 'estimator__penalty': 'l2', 'estimator__random_state': 42, 'estimator__solver': 'lbfgs', 'estimator__verbose': 2}"
fcfp4-TruHit,BAG,"{'max_features': 1.0, 'max_samples': 1.0, 'n_estimators': 10, 'random_state': 42}"
volsurf-ACE2,OVR,"{'estimator__C': 1.0, 'estimator__n_jobs': -1, 'estimator__penalty': 'l2', 'estimator__random_state': 42, 'estimator__solver': 'liblinear', 'estimator__verbose': 2}"
lfcfp4-CPE,MNB,{'alpha': 3.0}
tpatf-MERS-PPE_cs,SVC,"{'C': 0.1, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 4, 'gamma': 0.0001, 'kernel': 'poly', 'max_iter': 500, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.0001, 'verbose': 2}"
tpatf-CoV1-PPE_cs,XGB,"{'learning_rate': 0.1, 'n_estimators': 200, 'random_state': 42}"
rdkDes-MERS-PPE,GB,"{'learning_rate': 0.1, 'n_estimators': 250, 'random_state': 42}"
rdkDes-CoV1-PPE,MNB,{'alpha': 3.0}
rdkDes-CPE,ETAs,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100, 'random_state': 42}"
rdkDes-ACE2,XGB,"{'learning_rate': 0.3, 'n_estimators': 100, 'random_state': 42}"
volsurf-hCYTOX,GB,"{'learning_rate': 0.01, 'n_estimators': 300, 'random_state': 42}"
hashtt-3CL,SVC,"{'C': 1, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 2, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.0001, 'verbose': 2}"
rdkDes-TruHit,ETAs,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 100, 'random_state': 42}"
tpatf-CoV1-PPE,GB,"{'learning_rate': 0.1, 'n_estimators': 50, 'random_state': 42}"
rdkDes-3CL,GB,"{'learning_rate': 0.1, 'n_estimators': 100, 'random_state': 42}"
tpatf-MERS-PPE,ETAs,"{'criterion': 'gini', 'max_features': 'log2', 'n_estimators': 100, 'random_state': 42}"
volsurf-TruHit,KNB,"{'algorithm': 'ball_tree', 'leaf_size': 50, 'n_neighbors': 5, 'weights': 'distance'}"
rdkDes-hCYTOX,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 200, 'n_jobs': -1, 'random_state': 42}"
rdk7-MERS-PPE_cs,MNB,{'alpha': 3.0}
rdkDes-MERS-PPE_cs,ADA,"{'algorithm': 'SAMME.R', 'base_estimator': None, 'learning_rate': 1, 'n_estimators': 50, 'random_state': 42}"
hashap-AlphaLISA,SVC,"{'C': 1, 'coef0': 0.0, 'decision_function_shape': 'ovr', 'degree': 0, 'gamma': 0.01, 'kernel': 'rbf', 'max_iter': 500, 'probability': True, 'random_state': 42, 'shrinking': True, 'tol': 0.0001, 'verbose': 2}"
lecfp6-hCYTOX,XGB,"{'learning_rate': 0.3, 'n_estimators': 150, 'random_state': 42}"
volsurf-MERS-PPE_cs,MLP,"{'hidden_layer_sizes': [100], 'max_iter': 100, 'random_state': 42, 'verbose': 2}"
fcfp2-ACE2,RF,"{'criterion': 'gini', 'max_features': 'auto', 'n_estimators': 700, 'n_jobs': -1, 'random_state': 42}"
tpatf-AlphaLISA,GB,"{'learning_rate': 0.3, 'n_estimators': 200, 'random_state': 42}"
